Peptide,Metabolic/Weight,Healing/Recovery,GH Axis,Muscle/Performance,Longevity,Cognition/Mood,Sleep,Immune/Anti-inf,Skin/Hair,Sexual Health,Cardio/Vascular,GI/Bone/Other
Semaglutide (Wegovy/Ozempic),✔,,,,,,,,,,,
Tirzepatide (Zepbound/Mounjaro),✔,,,,,,,,,,,
Liraglutide (Saxenda/Victoza),✔,,,,,,,,,,,
Exenatide (Byetta/Bydureon),✔,,,,,,,,,,,
Dulaglutide (Trulicity),✔,,,,,,,,,,,
Pramlintide (Symlin),✔,,,,,,,,,,,
Cagrilintide (research),✔,,,,,,,,,,,
Retatrutide (research),✔,,,,,,,,,,,
Leptin / Metreleptin,✔,,,,,,,,,,,
Glucagon,,,,,,,,,,,,✔
Tesamorelin (Egrifta SV/WR),,,✔,,,,,,,,,
Somatropin (Human Growth Hormone),,,✔,✔,,,,,,,,
Sermorelin (research/compounded),,,✔,,,,,,,,,
CJC-1295 (research),,,✔,,,,,,,,,
Ipamorelin (research),,,✔,,,,✔,,,,,
GHRP-2 (research),,,✔,,,,,,,,,
GHRP-6 (research),,,✔,,,,,,,,,
BPC-157 (research),,✔,,,,,,,,,,
"TB-500 (Thymosin beta-4 fragment, research)",,✔,,✔,,,,,,,,
Thymosin Beta-4 (Tβ4),,✔,,,,,,,,,,
Thymosin Alpha-1 (Thymalfasin),,,,,,,,✔,,,,
LL-37 (research),,,,,,,,✔,,,,
VIP (Vasoactive Intestinal Peptide),,,,,,✔,,✔,,,,
KPV (research),,,,,,,,,,,,
Semax (research/region-specific),,,,,,✔,,,,,,
Selank (research/region-specific),,,,,,✔,,,,,,
Cerebrolysin (region-specific),,,,,,✔,,,,,,
Dihexa (research),,,,,,✔,,,,,,
DSIP (research),,,,,,,✔,,,,,
Epitalon / Epithalon (research),,,,,✔,,✔,,,,,
"NAD+ (not a peptide, but commonly discussed)",,,,,✔,,,,,,,
MOTS-c (research),,,,,✔,,,,,,,
Humanin (research),,,,,✔,,,,,,,
GHK-Cu (Copper peptide),,✔,,,✔,,,,✔,,,
Matrixyl (Palmitoyl pentapeptide),,,,,,,,,✔,,,
Argireline (Acetyl hexapeptide-8),,,,,,,,,✔,,,
Bremelanotide (Vyleesi; PT-141 analog),,,,,,,,,,✔,,
Kisspeptin (research/clinical research),,,,,,,,,,✔,,
Oxytocin,,,,,,✔,,,,✔,,
hCG (not a peptide; glycoprotein hormone),,,,,,,,,,,,
ANP (Atrial natriuretic peptide),,,,,,,,,,,✔,
BNP (B-type natriuretic peptide),,,,,,,,,,,✔,
Apelin (research),,,,,,,,,,,✔,
Adrenomedullin (research),,,,,,,,,,,✔,
GLP-2 analog (Teduglutide),,,,,,,,,,,,✔
Desmopressin (DDAVP),,,,,,,,,,,,✔
Calcitonin,,,,,,,,,,,,✔
Teriparatide (Forteo),,,,,,,,,,,,✔
Abaloparatide (Tymlos),,,,,,,,,,,,✔
Vasopressin,,,,,,,,,,,✔,
CGRP (Calcitonin gene-related peptide),,,,,,,,,,,,✔
Substance P,,,,,,,,,,,,✔
Bivalirudin,,,,,,,,,,,✔,
Eptifibatide,,,,,,,,,,,✔,
Melanotan II (research),,,,,,,,,✔,✔,,
α-MSH analogs (research),,,,,,,,,,,,
Defensins (research),,,,,,,,✔,,,,
Thymopentin (research/region-specific),,,,,,,,✔,,,,
